type,value
wind_speed,7.200000286
wind_vane,2
wind_speed,4
wind_vane,6
wind_vane,2
wind_speed,7.200000286
wind_speed,12.80000019
wind_vane,1
wind_vane,2
wind_speed,13.60000134
wind_vane,0
wind_speed,3.200000048
wind_speed,8.800000191
wind_vane,2
wind_speed,14.40000057
wind_vane,2
wind_speed,6.400000095
wind_vane,2
wind_speed,9.600000381
wind_vane,2
wind_vane,5
wind_speed,13.60000134
wind_speed,4
wind_vane,2
wind_vane,4
wind_speed,2.400000095
wind_speed,4.800000191
wind_vane,0
wind_speed,8.800000191
wind_vane,15
wind_speed,9.600000381
wind_vane,1
wind_speed,7.200000286
wind_vane,0
wind_vane,2
wind_speed,12
wind_speed,13.60000134
wind_vane,2
wind_vane,0
wind_speed,8.800000191
wind_speed,8
wind_vane,0
wind_speed,8.800000191
wind_vane,15
wind_speed,12.80000019
wind_vane,0
wind_speed,8.800000191
wind_vane,0
wind_vane,2
wind_speed,9.600000381
wind_vane,2
wind_speed,9.600000381
wind_vane,0
wind_speed,19.20000076
wind_speed,8.800000191
wind_vane,15
wind_vane,2
wind_speed,9.600000381
wind_speed,12
wind_vane,0
wind_speed,16
wind_vane,0
wind_speed,14.40000057
wind_vane,0
wind_speed,15.20000076
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_vane,0
wind_speed,16
wind_speed,23.20000267
wind_vane,0
wind_speed,13.60000134
wind_vane,0
wind_vane,0
wind_speed,13.60000134
wind_vane,0
wind_speed,16.80000114
wind_vane,2
wind_speed,12.80000019
wind_speed,14.40000057
wind_vane,0
wind_speed,9.600000381
wind_vane,2
wind_speed,12.80000019
wind_vane,0
wind_speed,12.80000019
wind_vane,2
wind_vane,0
wind_speed,14.40000057
wind_vane,0
wind_speed,13.60000134
wind_vane,0
wind_speed,23.20000267
wind_speed,16.80000114
wind_vane,0
wind_speed,9.600000381
wind_vane,15
wind_vane,0
wind_speed,8.800000191
wind_speed,6.400000095
wind_vane,2
wind_vane,2
wind_speed,17.60000038
wind_speed,15.20000076
wind_vane,0
wind_vane,0
wind_speed,16
wind_speed,8
wind_vane,0
wind_speed,13.60000134
wind_vane,0
wind_speed,7.200000286
wind_vane,14
wind_vane,0
wind_speed,20.00000191
wind_speed,10.40000057
wind_vane,0
wind_speed,16
wind_vane,0
wind_speed,10.40000057
wind_vane,1
wind_speed,16.80000114
wind_vane,0
wind_vane,0
wind_speed,8
wind_speed,13.60000134
wind_vane,0
wind_speed,13.60000134
wind_vane,0
wind_speed,8
wind_vane,0
wind_speed,14.40000057
wind_vane,15
wind_speed,24
wind_vane,0
wind_vane,0
wind_speed,15.20000076
wind_vane,0
wind_speed,27.20000267
wind_speed,20.80000114
wind_vane,0
wind_speed,19.20000076
wind_vane,2
wind_speed,13.60000134
wind_vane,0
wind_speed,11.20000076
wind_vane,2
wind_speed,17.60000038
wind_vane,0
wind_speed,12.80000019
wind_vane,15
wind_speed,16
wind_vane,0
wind_speed,14.40000057
wind_vane,0
wind_speed,13.60000134
wind_vane,2
wind_speed,13.60000134
wind_vane,0
wind_speed,23.20000267
wind_vane,0
wind_speed,17.60000038
wind_vane,14
wind_speed,24
wind_vane,2
wind_speed,24
wind_vane,0
wind_vane,1
wind_speed,22.40000153
wind_speed,20.00000191
wind_vane,0
wind_speed,18.39999962
wind_vane,0
wind_speed,12.80000019
wind_vane,0
wind_speed,11.20000076
wind_vane,2
wind_vane,0
wind_speed,28
wind_speed,23.20000267
wind_vane,0
wind_speed,8.800000191
wind_vane,0
wind_speed,12
wind_vane,0
wind_speed,17.60000038
wind_vane,14
wind_speed,13.60000134
wind_vane,0
wind_speed,15.20000076
wind_vane,1
wind_vane,0
wind_speed,15.20000076
wind_speed,8
wind_vane,0
wind_speed,18.39999962
wind_vane,2
wind_speed,11.20000076
wind_vane,0
wind_speed,7.200000286
wind_vane,2
wind_speed,12
wind_vane,0
wind_vane,0
wind_speed,8.800000191
wind_speed,9.600000381
wind_vane,1
wind_speed,8.800000191
wind_vane,1
wind_speed,10.40000057
wind_vane,0
wind_vane,2
wind_speed,5.600000381
wind_speed,4.800000191
wind_vane,0
wind_vane,2
wind_speed,13.60000134
wind_speed,12.80000019
wind_vane,2
wind_speed,8
wind_vane,0
wind_vane,0
wind_speed,8
wind_speed,4
wind_vane,0
wind_speed,12
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_speed,16
wind_vane,0
wind_vane,0
wind_speed,8.800000191
wind_speed,9.600000381
wind_vane,0
wind_speed,8
wind_vane,2
wind_speed,13.60000134
wind_vane,0
wind_speed,15.20000076
wind_vane,0
wind_vane,0
wind_speed,10.40000057
wind_vane,0
wind_speed,12.80000019
wind_speed,6.400000095
wind_vane,0
wind_vane,0
wind_speed,4
wind_speed,12
wind_vane,2
wind_vane,0
wind_speed,12.80000019
wind_speed,5.600000381
wind_vane,4
wind_speed,8.800000191
wind_vane,1
wind_speed,8.800000191
wind_vane,15
wind_vane,0
wind_speed,10.40000057
wind_speed,8
wind_vane,1
wind_speed,2.400000095
wind_vane,0
wind_speed,6.400000095
wind_vane,2
wind_speed,3.200000048
wind_vane,2
wind_speed,4
wind_vane,2
wind_speed,4
wind_vane,0
wind_vane,0
wind_speed,4.800000191
wind_speed,4.800000191
wind_vane,2
wind_speed,2.400000095
wind_vane,0
wind_vane,0
wind_speed,7.200000286
wind_speed,5.600000381
wind_vane,0
wind_vane,0
wind_speed,7.200000286
wind_speed,7.200000286
wind_vane,0
wind_speed,4.800000191
wind_vane,0
wind_speed,3.200000048
wind_vane,2
wind_vane,2
wind_speed,3.200000048
wind_vane,2
wind_speed,6.400000095
wind_speed,3.200000048
wind_vane,4
wind_speed,4
wind_vane,0
wind_vane,4
wind_speed,4.800000191
wind_speed,4
wind_vane,4
wind_speed,4.800000191
wind_vane,2
wind_speed,2.400000095
wind_vane,2
wind_speed,7.200000286
wind_vane,2
wind_speed,2.400000095
wind_vane,2
wind_speed,5.600000381
wind_vane,4
wind_speed,4.800000191
wind_vane,2
wind_vane,2
wind_speed,4.800000191
wind_speed,8
wind_vane,14
wind_speed,9.600000381
wind_vane,1
wind_vane,2
wind_speed,3.200000048
wind_vane,6
wind_speed,9.600000381
wind_vane,5
wind_speed,3.200000048
wind_speed,4
wind_vane,4
wind_speed,15.20000076
wind_vane,2
wind_speed,6.400000095
wind_vane,1
wind_vane,1
wind_speed,4.800000191
wind_vane,14
wind_speed,4
wind_vane,0
wind_speed,7.200000286
wind_speed,4.800000191
wind_vane,0
wind_speed,6.400000095
wind_vane,0
wind_speed,8
wind_vane,2
wind_speed,12
wind_vane,0
wind_vane,2
wind_speed,10.40000057
wind_vane,2
wind_speed,12.80000019
wind_speed,7.200000286
wind_vane,1
wind_vane,2
wind_speed,16
wind_speed,8
wind_vane,1
wind_speed,25.60000038
wind_vane,1
wind_speed,25.60000038
wind_vane,0
wind_speed,9.600000381
wind_vane,0
wind_vane,0
wind_speed,12
wind_vane,0
wind_speed,9.600000381
wind_vane,2
wind_speed,24.80000114
wind_speed,18.39999962
wind_vane,0
wind_vane,0
wind_speed,6.400000095
wind_speed,20.00000191
wind_vane,0
wind_speed,17.60000038
wind_vane,0
wind_speed,12.80000019
wind_vane,0
wind_speed,19.20000076
wind_vane,1
wind_vane,2
wind_speed,8.800000191
wind_vane,0
wind_speed,16
wind_speed,5.600000381
wind_vane,1
wind_speed,10.40000057
wind_vane,2
wind_vane,0
wind_speed,8.800000191
wind_vane,14
wind_speed,13.60000134
wind_speed,14.40000057
wind_vane,0
wind_speed,10.40000057
wind_vane,1
wind_speed,8.800000191
wind_vane,2
wind_speed,16.80000114
wind_vane,0
wind_vane,2
wind_speed,16
wind_vane,2
wind_speed,12
wind_vane,13
wind_speed,18.39999962
wind_vane,15
wind_speed,13.60000134
wind_speed,12
wind_vane,0
wind_vane,0
wind_speed,24
wind_speed,16.80000114
wind_vane,1
wind_vane,0
wind_speed,8.800000191
wind_vane,0
wind_speed,23.20000267
wind_vane,2
wind_speed,8
wind_vane,0
wind_speed,17.60000038
wind_speed,22.40000153
wind_vane,0
wind_speed,16.80000114
wind_vane,0
wind_vane,0
wind_speed,14.40000057
wind_speed,33.60000229
wind_vane,0
wind_vane,0
wind_speed,23.20000267
wind_vane,0
wind_speed,20.80000114
wind_speed,10.40000057
wind_vane,3
wind_speed,14.40000057
wind_vane,14
wind_speed,11.20000076
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_vane,0
wind_speed,24
wind_vane,0
wind_speed,23.20000267
wind_vane,14
wind_speed,19.20000076
wind_vane,14
wind_speed,15.20000076
wind_speed,16.80000114
wind_vane,0
wind_vane,14
wind_speed,19.20000076
wind_speed,12
wind_vane,0
wind_speed,10.40000057
wind_vane,0
wind_speed,9.600000381
wind_vane,2
wind_speed,11.20000076
wind_vane,0
wind_vane,14
wind_speed,27.20000267
wind_vane,0
wind_speed,7.200000286
wind_speed,19.20000076
wind_vane,0
wind_speed,9.600000381
wind_vane,2
wind_vane,0
wind_speed,15.20000076
wind_speed,8.800000191
wind_vane,14
wind_vane,0
wind_speed,19.20000076
wind_speed,6.400000095
wind_vane,1
wind_speed,5.600000381
wind_vane,2
wind_speed,5.600000381
wind_vane,15
wind_speed,11.20000076
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_speed,15.20000076
wind_vane,2
wind_speed,4.800000191
wind_vane,0
wind_speed,14.40000057
wind_vane,0
wind_vane,2
wind_speed,13.60000134
wind_speed,17.60000038
wind_vane,0
wind_vane,15
wind_speed,15.20000076
wind_speed,11.20000076
wind_vane,0
wind_speed,25.60000038
wind_vane,0
wind_speed,15.20000076
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_vane,4
wind_speed,4
wind_speed,8
wind_vane,0
wind_vane,2
wind_speed,9.600000381
wind_speed,15.20000076
wind_vane,14
wind_speed,13.60000134
wind_vane,15
wind_speed,9.600000381
wind_vane,0
wind_speed,9.600000381
wind_vane,0
wind_speed,9.600000381
wind_vane,0
wind_speed,7.200000286
wind_vane,2
wind_speed,7.200000286
wind_vane,0
wind_speed,10.40000057
wind_vane,2
wind_speed,12
wind_vane,2
wind_vane,2
wind_speed,12
wind_vane,15
wind_speed,16
wind_speed,8.800000191
wind_vane,2
wind_vane,0
wind_speed,16.80000114
wind_speed,11.20000076
wind_vane,0
wind_speed,12
wind_vane,0
wind_speed,15.20000076
wind_vane,0
wind_speed,12.80000019
wind_vane,15
wind_vane,3
wind_speed,3.200000048
wind_speed,8
wind_vane,0
wind_vane,0
wind_speed,10.40000057
wind_speed,7.200000286
wind_vane,0
wind_vane,0
wind_speed,4
wind_speed,8
wind_vane,2
wind_speed,13.60000134
wind_vane,0
wind_vane,0
wind_speed,12.80000019
wind_speed,14.40000057
wind_vane,0
wind_speed,17.60000038
wind_vane,0
wind_speed,8
wind_vane,3
wind_speed,9.600000381
wind_vane,0
wind_vane,0
wind_speed,4
wind_speed,15.20000076
wind_vane,0
wind_speed,4.800000191
wind_vane,0
wind_speed,9.600000381
wind_vane,0
wind_speed,10.40000057
wind_vane,2
wind_vane,0
wind_speed,16
wind_speed,8
wind_vane,0
wind_speed,16
wind_vane,0
wind_speed,10.40000057
wind_vane,15
wind_speed,7.200000286
wind_vane,0
wind_vane,0
wind_speed,13.60000134
wind_vane,0
wind_speed,16.80000114
wind_speed,8.800000191
wind_vane,14
wind_speed,18.39999962
wind_vane,0
wind_speed,8.800000191
wind_vane,12
wind_speed,14.40000057
wind_vane,2
wind_speed,19.20000076
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_vane,0
wind_speed,18.39999962
wind_speed,8
wind_vane,0
wind_speed,16.80000114
wind_vane,14
wind_speed,8
wind_vane,15
wind_speed,3.200000048
wind_vane,15
wind_vane,14
wind_speed,12.80000019
wind_vane,0
wind_speed,8
wind_vane,0
wind_speed,8.800000191
wind_speed,8.800000191
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_speed,5.600000381
wind_vane,13
wind_vane,0
wind_speed,9.600000381
wind_vane,0
wind_speed,18.39999962
wind_speed,9.600000381
wind_vane,0
wind_speed,11.20000076
wind_vane,1
wind_vane,15
wind_speed,7.200000286
wind_vane,0
wind_speed,8.800000191
wind_vane,0
wind_speed,10.40000057
wind_speed,11.20000076
wind_vane,0
wind_speed,6.400000095
wind_vane,0
wind_vane,0
wind_speed,4.800000191
wind_vane,2
wind_speed,16
wind_vane,0
wind_speed,7.200000286
wind_speed,18.39999962
wind_vane,0
wind_vane,14
wind_speed,10.40000057
wind_vane,0
wind_speed,8
wind_vane,0
wind_speed,12
wind_vane,2
wind_speed,8.800000191
wind_speed,11.20000076
wind_vane,0
wind_vane,0
wind_speed,12.80000019
wind_vane,0
wind_speed,8.800000191
wind_vane,0
wind_speed,8
wind_speed,12
wind_vane,0
wind_speed,7.200000286
wind_vane,2
wind_vane,1
wind_speed,9.600000381
wind_vane,2
wind_speed,9.600000381
wind_speed,11.20000076
wind_vane,14
wind_vane,14
wind_speed,11.20000076
wind_vane,2
wind_speed,8
wind_vane,1
wind_speed,14.40000057
wind_vane,0
wind_speed,12.80000019
wind_speed,8.800000191
wind_vane,2
wind_speed,7.200000286
wind_vane,14
wind_speed,14.40000057
wind_vane,14
wind_speed,9.600000381
wind_vane,0
wind_vane,1
wind_speed,12.80000019
wind_speed,8.800000191
wind_vane,0
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_speed,15.20000076
wind_vane,15
wind_speed,11.20000076
wind_speed,21.60000038
wind_vane,0
wind_speed,16
wind_vane,0
wind_vane,0
wind_speed,8
wind_vane,0
wind_speed,14.40000057
wind_speed,12.80000019
wind_vane,0
wind_speed,11.20000076
wind_vane,0
wind_vane,14
wind_speed,7.200000286
wind_vane,2
wind_speed,10.40000057
wind_vane,12
wind_speed,8
wind_speed,10.40000057
wind_vane,14
wind_speed,12.80000019
wind_vane,0
wind_speed,12.80000019
wind_vane,0
wind_speed,7.200000286
wind_vane,2
wind_vane,0
wind_speed,12
wind_vane,0
wind_speed,21.60000038
wind_vane,0
wind_speed,17.60000038
wind_speed,9.600000381
wind_vane,15
wind_speed,20.80000114
wind_vane,1
wind_vane,15
wind_speed,17.60000038
wind_vane,2
wind_speed,17.60000038
wind_speed,5.600000381
wind_vane,15
wind_speed,13.60000134
wind_vane,0
wind_speed,16.80000114
wind_vane,15
wind_vane,0
wind_speed,7.200000286
wind_vane,0
wind_speed,12
wind_speed,4.800000191
wind_vane,14
wind_speed,11.20000076
wind_vane,0
wind_speed,8
wind_vane,0
wind_vane,2
wind_speed,5.600000381
wind_speed,4
wind_vane,0
wind_speed,5.600000381
wind_vane,0
wind_vane,0
wind_speed,12.80000019
wind_vane,8
wind_speed,1.600000024
wind_vane,0
wind_speed,8.800000191
wind_vane,1
wind_speed,7.200000286
wind_speed,5.600000381
wind_vane,0
wind_speed,6.400000095
wind_vane,2
wind_speed,2.400000095
wind_vane,0
wind_vane,2
wind_speed,2.400000095
wind_vane,2
wind_speed,4.800000191
wind_speed,4.800000191
wind_vane,0
wind_speed,0.800000012
wind_vane,6
wind_speed,6.400000095
wind_vane,2
wind_vane,0
wind_speed,4
wind_speed,4
wind_vane,2
wind_speed,1.600000024
wind_vane,2
wind_speed,4.800000191
wind_vane,3
wind_speed,7.200000286
wind_vane,2
wind_vane,0
wind_speed,3.200000048
wind_speed,4.800000191
wind_vane,0
wind_speed,8.800000191
wind_vane,2
wind_speed,1.600000024
wind_vane,2
wind_vane,0
wind_speed,5.600000381
wind_vane,2
wind_speed,4.800000191
wind_speed,2.400000095
wind_vane,4
wind_vane,2
wind_speed,5.600000381
wind_vane,4
wind_speed,8.800000191
wind_vane,2
wind_speed,4
wind_speed,5.600000381
wind_vane,8
wind_speed,3.200000048
wind_vane,8
wind_speed,4
wind_vane,2
wind_speed,4
wind_vane,2
wind_speed,7.200000286
wind_vane,4
wind_speed,4.800000191
wind_vane,2
wind_vane,2
wind_speed,9.600000381
wind_speed,3.200000048
wind_vane,2
wind_vane,2
wind_speed,7.200000286
wind_speed,6.400000095
wind_vane,2
wind_vane,4
wind_speed,0.800000012
wind_speed,5.600000381
wind_vane,10
wind_speed,6.400000095
wind_vane,4
wind_speed,4.800000191
wind_vane,4
wind_speed,7.200000286
wind_vane,3
wind_vane,2
wind_speed,12.80000019
wind_speed,4.800000191
wind_vane,6
wind_speed,12.80000019
wind_vane,2
wind_speed,7.200000286
wind_vane,6
wind_speed,12.80000019
wind_vane,2
wind_speed,4.800000191
wind_vane,3
wind_speed,6.400000095
wind_vane,2
wind_vane,4
wind_speed,7.200000286
wind_vane,4
wind_speed,6.400000095
wind_vane,7
wind_speed,4
wind_speed,3.200000048
wind_vane,6
wind_speed,4.800000191
wind_vane,6
wind_speed,5.600000381
wind_vane,2
wind_vane,5
wind_speed,7.200000286
wind_vane,6
wind_speed,11.20000076
wind_speed,4.800000191
wind_vane,2
wind_speed,4.800000191
wind_vane,6
wind_speed,7.200000286
wind_vane,6
wind_speed,7.200000286
wind_vane,4
wind_vane,4
wind_speed,7.200000286
wind_speed,11.20000076
wind_vane,6
wind_speed,11.20000076
wind_vane,4
wind_vane,4
wind_speed,12.80000019
wind_speed,8
wind_vane,6
wind_speed,12
wind_vane,4
wind_vane,5
wind_speed,9.600000381
wind_speed,7.200000286
wind_vane,6
wind_vane,4
wind_speed,6.400000095
wind_vane,6
wind_speed,8
wind_speed,4.800000191
wind_vane,4
wind_vane,6
wind_speed,7.200000286
wind_vane,3
wind_speed,5.600000381
wind_vane,4
wind_speed,14.40000057
wind_vane,6
wind_speed,12.80000019
wind_vane,4
wind_speed,16
wind_vane,6
wind_speed,8
wind_vane,6
wind_speed,15.20000076
wind_vane,4
wind_speed,11.20000076
wind_speed,6.400000095
wind_vane,6
wind_vane,4
wind_speed,13.60000134
wind_vane,4
wind_speed,12
wind_speed,12.80000019
wind_vane,6
wind_speed,15.20000076
wind_vane,4
wind_speed,16.80000114
wind_vane,4
wind_speed,9.600000381
wind_vane,6
wind_vane,6
wind_speed,12
wind_speed,11.20000076
wind_vane,6
wind_vane,4
wind_speed,12
wind_speed,9.600000381
wind_vane,6
wind_speed,21.60000038
wind_vane,6
wind_speed,7.200000286
wind_vane,6
wind_speed,16
wind_vane,4
wind_vane,4
wind_speed,10.40000057
wind_vane,8
wind_speed,8
wind_speed,14.40000057
wind_vane,5
wind_vane,6
wind_speed,19.20000076
wind_speed,17.60000038
wind_vane,4
wind_speed,15.20000076
wind_vane,4
wind_vane,6
wind_speed,24.80000114
wind_vane,4
wind_speed,21.60000038
wind_speed,15.20000076
wind_vane,6
wind_vane,4
wind_speed,7.200000286
wind_speed,8.800000191
wind_vane,4
wind_vane,4
wind_speed,18.39999962
wind_speed,12.80000019
wind_vane,4
wind_vane,4
wind_speed,8.800000191
wind_speed,8
wind_vane,5
wind_speed,15.20000076
wind_vane,6
wind_speed,6.400000095
wind_vane,6
wind_vane,0
wind_speed,9.600000381
wind_speed,10.40000057
wind_vane,2
wind_vane,2
wind_speed,11.20000076
wind_speed,12.80000019
wind_vane,6
wind_vane,9
wind_speed,14.40000057
wind_speed,11.20000076
wind_vane,2
wind_vane,4
wind_speed,8
wind_speed,5.600000381
wind_vane,8
wind_vane,4
wind_speed,4
wind_speed,10.40000057
wind_vane,3
wind_speed,9.600000381
wind_vane,6
wind_speed,7.200000286
wind_vane,1
wind_speed,5.600000381
wind_vane,2
wind_vane,4
wind_speed,4
wind_speed,5.600000381
wind_vane,2
wind_speed,4
wind_vane,2
wind_speed,7.200000286
wind_vane,0
wind_speed,4
wind_vane,0
wind_vane,2
wind_speed,13.60000134
wind_speed,4
wind_vane,4
wind_speed,3.200000048
wind_vane,2
wind_speed,7.200000286
wind_vane,2
wind_speed,9.600000381
wind_vane,2
wind_speed,4
wind_vane,5
wind_speed,6.400000095
wind_vane,2
wind_speed,12
wind_vane,6
wind_vane,2
wind_speed,3.200000048
wind_vane,6
wind_speed,8.800000191
wind_vane,2
wind_speed,6.400000095
wind_speed,10.40000057
wind_vane,2
wind_vane,8
wind_speed,5.600000381
wind_vane,1
wind_speed,15.20000076
wind_vane,6
wind_speed,13.60000134
wind_speed,8
wind_vane,2
wind_speed,12
wind_vane,1
wind_vane,1
wind_speed,7.200000286
wind_vane,0
wind_speed,13.60000134
wind_speed,5.600000381
wind_vane,6
wind_speed,8
wind_vane,0
wind_vane,0
wind_speed,9.600000381
wind_speed,5.600000381
wind_vane,0
wind_vane,0
wind_speed,7.200000286
wind_vane,2
wind_speed,2.400000095
wind_speed,10.40000057
wind_vane,1
wind_speed,14.40000057
wind_vane,0
wind_speed,4
wind_vane,2
wind_vane,0
wind_speed,4
wind_vane,15
wind_speed,8
wind_speed,7.200000286
wind_vane,0
wind_speed,2.400000095
wind_vane,2
wind_speed,9.600000381
wind_vane,0
wind_vane,4
wind_speed,4.800000191
wind_vane,4
wind_speed,5.600000381
wind_speed,2.400000095
wind_vane,8
wind_speed,6.400000095
wind_vane,2
wind_speed,10.40000057
wind_vane,2
wind_speed,7.200000286
wind_vane,2
wind_vane,0
wind_speed,6.400000095
wind_vane,4
wind_speed,7.200000286
wind_speed,6.400000095
wind_vane,0
wind_speed,4
wind_vane,4
wind_speed,8.800000191
wind_vane,2
wind_vane,2
wind_speed,8.800000191
wind_speed,5.600000381
wind_vane,2
wind_speed,1.600000024
wind_vane,2
wind_speed,4
wind_vane,2
wind_speed,8.800000191
wind_vane,0
wind_vane,2
wind_speed,4.800000191
wind_vane,2
wind_speed,4.800000191
wind_vane,6
wind_speed,8
wind_speed,6.400000095
wind_vane,2
wind_vane,1
wind_speed,1.600000024
wind_speed,12
wind_vane,2
wind_vane,2
wind_speed,4
wind_vane,4
wind_speed,6.400000095
wind_speed,8.800000191
wind_vane,3
wind_speed,5.600000381
wind_vane,2
wind_speed,8.800000191
wind_vane,4
wind_speed,7.200000286
wind_vane,2
wind_vane,2
wind_speed,9.600000381
wind_speed,11.20000076
wind_vane,4
wind_vane,4
wind_speed,12
wind_speed,11.20000076
wind_vane,2
wind_speed,12
wind_vane,0
wind_speed,9.600000381
wind_vane,0
wind_vane,2
wind_speed,15.20000076
wind_vane,2
wind_speed,20.00000191
wind_speed,6.400000095
wind_vane,0
wind_speed,14.40000057
wind_vane,2
wind_speed,4.800000191
wind_vane,2
wind_speed,4.800000191
wind_vane,2
wind_vane,3
wind_speed,15.20000076
wind_speed,5.600000381
wind_vane,2
wind_speed,5.600000381
wind_vane,0
wind_speed,6.400000095
wind_vane,2
wind_speed,4
wind_vane,6
wind_vane,4
wind_speed,9.600000381
wind_vane,2
wind_speed,4.800000191
wind_vane,3
wind_speed,7.200000286
wind_speed,4
wind_vane,6
wind_speed,2.400000095
wind_vane,3
wind_speed,15.20000076
wind_vane,2
wind_vane,4
wind_speed,12.80000019
wind_vane,2
wind_speed,4.800000191
wind_speed,2.400000095
wind_vane,4
wind_vane,2
wind_speed,14.40000057
wind_vane,6
wind_speed,3.200000048
wind_vane,2
wind_speed,16
wind_speed,10.40000057
wind_vane,2
wind_speed,7.200000286
wind_vane,2
wind_speed,5.600000381
wind_vane,2
wind_vane,4
wind_speed,8.800000191
wind_vane,2
wind_speed,8.800000191
wind_speed,6.400000095
wind_vane,4
wind_speed,12.80000019
wind_vane,2
wind_speed,7.200000286
wind_vane,3
wind_vane,2
wind_speed,4
wind_speed,4.800000191
wind_vane,4
wind_vane,6
wind_speed,4.800000191
wind_speed,4.800000191
wind_vane,2
wind_speed,6.400000095
wind_vane,2
wind_speed,12
wind_vane,4
wind_vane,4
wind_speed,8
wind_speed,9.600000381
wind_vane,3
wind_speed,8.800000191
wind_vane,2
wind_vane,2
wind_speed,19.20000076
wind_speed,6.400000095
wind_vane,6
wind_vane,2
wind_speed,4
wind_speed,10.40000057
wind_vane,6
wind_vane,2
wind_speed,15.20000076
wind_speed,8
wind_vane,6
wind_speed,5.600000381
wind_vane,4
wind_vane,6
wind_speed,7.200000286
wind_vane,0
wind_speed,7.200000286
wind_speed,7.200000286
wind_vane,6
wind_vane,6
wind_speed,6.400000095
wind_speed,12.80000019
wind_vane,6
wind_vane,2
wind_speed,10.40000057
wind_vane,6
wind_speed,13.60000134
wind_speed,11.20000076
wind_vane,4
wind_speed,8
wind_vane,6
wind_vane,2
wind_speed,16
wind_speed,2.400000095
wind_vane,6
wind_speed,8
wind_vane,2
wind_speed,8
wind_vane,6
wind_speed,7.200000286
wind_vane,4
wind_vane,6
wind_speed,1.600000024
wind_speed,10.40000057
wind_vane,2
wind_vane,6
wind_speed,10.40000057
wind_speed,8
wind_vane,14
wind_speed,8
wind_vane,3
wind_speed,5.600000381
wind_vane,4
wind_vane,4
wind_speed,8
wind_vane,4
wind_speed,8
wind_speed,14.40000057
wind_vane,5
wind_vane,2
wind_speed,5.600000381
wind_speed,8.800000191
wind_vane,2
wind_vane,4
wind_speed,4
wind_speed,11.20000076
wind_vane,2
wind_vane,6
wind_speed,7.200000286
wind_speed,16
wind_vane,2
wind_vane,6
wind_speed,4.800000191
wind_speed,8
wind_vane,6
wind_vane,6
wind_speed,10.40000057
wind_vane,4
wind_speed,12
wind_vane,2
wind_speed,4
wind_speed,12
wind_vane,6
wind_vane,6
wind_speed,8.800000191
wind_vane,5
wind_speed,8.800000191
wind_vane,6
wind_speed,12.80000019
wind_vane,2
wind_speed,12.80000019
wind_speed,5.600000381
wind_vane,3
wind_vane,6
wind_speed,11.20000076
wind_speed,15.20000076
wind_vane,5
wind_speed,12
wind_vane,6
wind_speed,17.60000038
wind_vane,4
wind_speed,12
wind_vane,6
wind_vane,5
wind_speed,17.60000038
wind_vane,6
wind_speed,12.80000019
wind_vane,6
wind_speed,16
wind_speed,15.20000076
wind_vane,6
wind_speed,20.80000114
wind_vane,6
wind_speed,12
wind_vane,4
wind_vane,4
wind_speed,4.800000191
wind_vane,2
wind_speed,10.40000057
wind_speed,20.00000191
wind_vane,6
wind_speed,16.80000114
wind_vane,4
wind_vane,5
wind_speed,17.60000038
wind_vane,6
wind_speed,37.60000229
wind_speed,22.40000153
wind_vane,4
wind_speed,12.80000019
wind_vane,4
wind_speed,20.00000191
wind_vane,6
wind_speed,13.60000134
wind_vane,6
wind_speed,32
wind_vane,6
wind_vane,5
wind_speed,20.80000114
wind_vane,4
wind_speed,29.60000038
wind_vane,6
wind_speed,18.39999962
wind_speed,24.80000114
wind_vane,6
wind_speed,24
wind_vane,6
wind_vane,5
wind_speed,16.80000114
wind_vane,6
wind_speed,9.600000381
wind_speed,19.20000076
wind_vane,6
wind_vane,6
wind_speed,12
wind_vane,6
wind_speed,7.200000286
wind_vane,4
wind_speed,17.60000038
wind_speed,26.40000153
wind_vane,6
wind_vane,6
wind_speed,17.60000038
wind_vane,6
wind_speed,16
wind_vane,6
wind_speed,18.39999962
wind_vane,5
wind_speed,25.60000038
wind_vane,6
wind_speed,19.20000076
wind_vane,6
wind_speed,7.200000286
wind_speed,7.200000286
wind_vane,6
wind_vane,4
wind_speed,12
wind_vane,6
wind_speed,14.40000057
wind_vane,7
wind_speed,8.800000191
wind_vane,1
wind_speed,12
wind_vane,8
wind_speed,10.40000057
wind_vane,6
wind_speed,12.80000019
wind_vane,6
wind_speed,9.600000381
wind_vane,6
wind_speed,14.40000057
wind_vane,6
wind_speed,8
wind_speed,11.20000076
wind_vane,4
wind_speed,16
wind_vane,6
wind_speed,16.80000114
wind_vane,6
wind_speed,12
wind_vane,6
wind_vane,6
wind_speed,10.40000057
wind_speed,12.80000019
wind_vane,6
wind_speed,11.20000076
wind_vane,8
wind_speed,13.60000134
wind_vane,6
wind_speed,13.60000134
wind_vane,6
wind_speed,9.600000381
wind_vane,6
wind_vane,8
wind_speed,8
wind_speed,10.40000057
wind_vane,8
wind_vane,8
